0 0 0 0 0 0 0 0 0 0 0
0.000976562 -2.76923e-08 7.56939e-08 -1.99622e-08 -4.32963e-08 -3.78753e-08 1.62674e-08 6.89143e-08 4.64542e-08 2.635e-07 -2.81648e-08
0.00195312 -5.93853e-08 4.33062e-07 -8.91383e-08 -1.67612e-07 -1.75616e-07 5.76116e-08 2.78322e-07 1.8446e-07 8.05415e-07 -1.08917e-07
0.00292969 8.74101e-09 1.39424e-06 -2.18657e-07 -3.56339e-07 -4.36234e-07 1.12374e-07 6.33546e-07 4.11269e-07 1.37766e-06 -2.36151e-07
0.00390625 2.57385e-07 3.20445e-06 -4.15155e-07 -5.89708e-07 -8.19814e-07 1.65326e-07 1.1401e-06 7.2462e-07 1.88817e-06 -4.001e-07
0.00488281 6.90225e-07 5.35438e-06 -6.83713e-07 -8.46158e-07 -1.29912e-06 1.98566e-07 1.79927e-06 1.12202e-06 2.32659e-06 -5.89472e-07
0.00585937 1.23892e-06 6.85083e-06 -1.03345e-06 -1.09883e-06 -1.8317e-06 1.97752e-07 2.61378e-06 1.6083e-06 2.71204e-06 -7.92767e-07
0.00683593 1.80858e-06 7.34767e-06 -1.47548e-06 -1.32195e-06 -2.37004e-06 1.53948e-07 3.5888e-06 2.18268e-06 3.06829e-06 -1.00167e-06
0.0078125 2.31402e-06 7.02749e-06 -2.03102e-06 -1.49445e-06 -2.85789e-06 6.00042e-08 4.72162e-06 2.84672e-06 3.42211e-06 -1.21412e-06
0.00878906 2.72719e-06 6.1323e-06 -2.73464e-06 -1.60564e-06 -3.25297e-06 -8.80525e-08 6.01561e-06 3.59597e-06 3.79477e-06 -1.42273e-06
0.00976562 3.0766e-06 4.84123e-06 -3.6403e-06 -1.64951e-06 -3.54023e-06 -2.84453e-07 7.46775e-06 4.4237e-06 4.19368e-06 -1.61811e-06
0.0107422 3.47012e-06 3.28658e-06 -4.8271e-06 -1.61101e-06 -3.70792e-06 -5.06972e-07 9.07105e-06 5.32119e-06 4.62683e-06 -1.80332e-06
0.0117187 4.03347e-06 1.55984e-06 -6.37058e-06 -1.47329e-06 -3.76282e-06 -6.93286e-07 1.0823e-05 6.28638e-06 5.09552e-06 -2.00154e-06
0.0126953 4.87123e-06 -2.71542e-07 -8.30646e-06 -1.22558e-06 -3.70427e-06 -7.90648e-07 1.27337e-05 7.31761e-06 5.60578e-06 -2.25403e-06
0.0136719 6.06354e-06 -2.17756e-06 -1.05722e-05 -8.55316e-07 -3.51865e-06 -7.14502e-07 1.4812e-05 8.4011e-06 6.1696e-06 -2.57575e-06
0.0146484 7.68747e-06 -4.14851e-06 -1.29676e-05 -3.55663e-07 -3.22199e-06 -3.49757e-07 1.70711e-05 9.52225e-06 6.79388e-06 -2.98972e-06
0.015625 9.85719e-06 -6.16666e-06 -1.52332e-05 2.88664e-07 -2.82848e-06 4.00107e-07 1.95206e-05 1.06702e-05 7.48095e-06 -3.54448e-06
0.0166016 1.27059e-05 -8.23329e-06 -1.71544e-05 1.10844e-06 -2.33446e-06 1.59571e-06 2.21743e-05 1.18289e-05 8.23693e-06 -4.26183e-06
0.0175781 1.63584e-05 -1.03493e-05 -1.86332e-05 2.10124e-06 -1.73207e-06 3.27011e-06 2.50426e-05 1.2969e-05 9.05598e-06 -5.13376e-06
0.0185547 2.08843e-05 -1.25115e-05 -1.96901e-05 3.27326e-06 -9.99777e-07 5.41138e-06 2.81259e-05 1.40829e-05 9.94524e-06 -6.1509e-06
